sentence,source
Immigration legislation can greatly affect job opportunities in various sectors.,LABOR
New immigration legislation proposed a contract for immigrants to secure jobs.,LABOR
The legislation being debated in the office had significant implications for immigrant workers.,LABOR
Many are hoping for a promotion of more inclusive legislation in the coming year.,LABOR
Job security is a significant concern for immigrants in unstable employment sectors.,LABOR
Security measures at immigration checkpoints have been tightened due to new legislation.,LABOR
The national security office is in constant communication with immigration enforcement agencies.,LABOR
Immigration and security issues were at the forefront of the office's policy discussions.,LABOR
Recruitment for security personnel in immigration facilities is on the rise.,LABOR
Deportation orders can disrupt an immigrant's job and livelihood.,LABOR
"Deportation processes sometimes occur in workplaces, causing distress among coworkers.",LABOR
Increased deportation measures have led to fear in office environments in certain industries.,LABOR
"After naturalization, many immigrants experience a significant increase in job opportunities.",LABOR
"The naturalization process can be lengthy, similar to waiting for a promotion at work.",LABOR
"Productivity levels among naturalized citizens are high, contributing positively to the economy.",LABOR
DACA has provided many young immigrants with better job prospects.,LABOR
DACA recipients have proven to be productive contributors to the workplace.,LABOR
Job security for DACA recipients is a critical issue being discussed in legislation.,LABOR
"Despite working from home, many telecommuters fear the tightened border control which hinders their regular job-related trips.",LABOR
Salary discrepancies have surged in the border areas due to the recent migration patterns.,LABOR
"His workplace, located near the border, regularly faces challenges related to immigration issues.",LABOR
"The contract for the border security was given to a new firm, causing concern among the existing employees.",LABOR
The productivity of the farmers near the border has significantly decreased due to the regular immigration conflicts.,LABOR
New border controls affected the recruitment process for jobs that required regular travel.,LABOR
Many companies near the border have seen a drastic increase in their benefits applications due to new immigration rules.,LABOR
"After retirement, my colleague began volunteering at a border aid organization to help migrants.",LABOR
The new detention center policy has disrupted the salary scale of local government employees.,LABOR
Telecommuting became an option for some detention center employees amidst the current immigration situation.,LABOR
The recent immigration detention situation has a major impact on recruitment for human rights advocates.,LABOR
"The coworker, who previously worked at an immigration detention center, shares his insights on the office culture.",LABOR
Job satisfaction among the detention center employees is a less discussed topic.,LABOR
My job at the asylum seekers' aid organization has exposed me to the real challenges they face.,LABOR
Asylum seekers often struggle to find stable jobs and navigate the employment contracts.,LABOR
"The coworker, an asylum seeker, introduced new culinary experiences to our office.",LABOR
The productivity of the asylum seekers is often underestimated in our society.,LABOR
"A rise in asylum applications may reflect a larger global issue, but it does not directly impact office productivity.",LABOR
"She received her citizenship certificate and a promotion on the same day, making it a memorable milestone.",LABOR
His job offer depended on his citizenship application status.,LABOR
"With the new citizenship law, the benefits and responsibilities of citizens have undergone changes.",LABOR
The job market has been dramatically affected by the influx of skilled refugees.,LABOR
Productivity levels in certain sectors have improved with the arrival of refugees.,LABOR
Many refugees face challenges in understanding their employment contracts due to language barriers.,LABOR
Refugees often struggle to find jobs and adapt to the workplace culture in their new countries.,LABOR
His salary increment was stalled due to his visa status.,LABOR
Her visa application process was more stressful than her recent job interview.,LABOR
The new visa policy will greatly impact the recruitment strategies of many tech companies.,LABOR
One of my coworkers had to quit due to her visa expiration.,LABOR
ICE operations can lead to major changes in the job dynamics of immigrant communities.,LABOR
Telecommuting options for ICE employees have stirred a debate among labor unions.,LABOR
New legislation might change ICE's role and thus impact the productivity of the agency.,LABOR
"The recent immigration legislation impacted the job market, particularly in the agriculture sector.",LABOR
"With new legislation, the recruitment process for hiring foreign workers might become more stringent.",LABOR
"The coworker was directly affected by the new immigration legislation, making his workplace rights a focal point.",LABOR
"Increased security measures have led to a decrease in illegal immigration, affecting the labor market dynamics.",LABOR
The security situation directly impacts the job prospects for immigrants.,LABOR
The security officer's role in immigration enforcement is often a point of contention in workplace discussions.,LABOR
"My coworker, a security analyst, is responsible for ensuring safe relocation of immigrants.",LABOR
"Her deportation case resulted in a sudden vacancy in our office, disrupting the workplace environment.",LABOR
His job was in jeopardy due to a pending deportation order.,LABOR
The threat of deportation looms over the productivity of undocumented workers.,LABOR
"Following her naturalization, she secured a job with better benefits and a higher salary.",LABOR
The new legislation about naturalization has brought about major changes in the recruitment policies.,LABOR
"With naturalization, he no longer has to worry about the stability of his job.",LABOR
DACA recipients have significantly contributed to the productivity of our company.,LABOR
"After receiving DACA, he was eligible for a job that offered retirement benefits.",LABOR
"With DACA protection, she can focus more on her job rather than immigration issues.",LABOR
"Even with the offer of a higher salary, border patrol agents often face challenges with maintaining peace and order.",LABOR
Working at the border crossing is more than a job; it requires constant vigilance and the ability to make quick decisions.,LABOR
"Border officers underwent a major recruitment process, expanding their ranks for enhanced security.",LABOR
My coworker's brother experienced severe workplace stress during his time in the detention center.,LABOR
"The conditions in the detention facilities are being examined, but there's more focus on productivity at the office.",LABOR
"The job of managing a detention center is complex, and it comes with many ethical and human rights considerations.",LABOR
The process of seeking asylum is often complicated by issues like contract disputes and questions about benefits.,LABOR
"Asylum seekers often leave jobs and homes behind, facing an uncertain future in a new country.",LABOR
Her promotion was overshadowed by the news that her brother's asylum application was rejected.,LABOR
"Achieving citizenship often comes with increased job opportunities and benefits, but the process can be lengthy and complicated.",LABOR
"Retirement plans can be affected by citizenship status, with different regulations for citizens and non-citizens.",LABOR
"Upon receiving his citizenship, he immediately looked for better job opportunities.",LABOR
Refugees often struggle to find jobs in their new countries due to language barriers and credential recognition issues.,LABOR
"Many refugees strive to achieve productivity and contribute to their host countries, even in the midst of personal upheaval.",LABOR
"Refugees are often overlooked in recruitment drives, despite their eagerness to work and contribute to their new home.",LABOR
Many international workers face uncertainty in their job due to frequent changes in visa regulations.,LABOR
He could not accept the promotion because his work visa did not permit him to take on higher roles.,LABOR
Applying for a work visa often means grappling with complex contracts and policies.,LABOR
ICE officers frequently encounter workplace challenges such as high-stress environments and job burnout.,LABOR
"ICE operations often lead to issues in the workplace, especially for undocumented workers.",LABOR
The job of an ICE agent involves enforcing immigration laws and ensuring security.,LABOR
The recent immigration legislation impacted her job prospects and caused uncertainty about her future.,LABOR
Changes in immigration legislation often lead to shifts in the job market and workplace norms.,LABOR
"The legislation aimed to better define the rights of workers, regardless of their immigration status.",LABOR
"Security measures at the border were heightened after the recent incident, causing delays in the recruitment of new staff.",LABOR
"Working in security involves a wide range of responsibilities, from ensuring border integrity to overseeing detention centers.",LABOR
"The security of the country is often tied to stringent immigration policies, which can affect job markets.",LABOR
"Deportation procedures can create stress and uncertainty in the workplace, particularly for employees with visa issues.",LABOR
"The threat of deportation hangs over many undocumented workers, impacting their productivity and job security.",LABOR
"Despite her outstanding work and upcoming promotion, she lived in fear of deportation due to her immigration status.",LABOR
"The naturalization process, while providing long-term security, can initially disrupt job stability and workplace relationships.",LABOR
"Even though the naturalization process is complex, the benefits it provides in terms of job security are significant.",LABOR
His workplace threw a party to celebrate his newly acquired citizenship through naturalization.,LABOR
DACA recipients often face workplace discrimination and lower salaries despite having the same qualifications as their coworkers.,LABOR
"The contract offered to the DACA recipient was not as lucrative, highlighting an area of concern for immigrant rights advocates.",LABOR
"Telecommuting has become an option for many DACA recipients, providing them with more job opportunities.",LABOR
